School,Borough,Tested,Passed,8th graders,7,Gain/Loss,% Tested,% Passed,% Passed Overall,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index
I.S. 051 Edwin Markham,Staten Island,101,6,434,30,24,23.3,5.9,1.4,5.6,23.6,44.3,25.3,29.8,8.0,77.7,69.3%
I.S. 145 Joseph Pulitzer,Queens,137,7,581,41,34,23.6,5.1,1.2,8.5,1.9,87.8,1.4,15.1,21.8,94.7,82.0%
P.S. 034 Franklin D. Roosevelt,Manhattan,6,s,58,4,,10.3,,,3.3,31.8,61.3,2.7,36.6,7.5,97.6,93.9%
P.S. 140 Nathan Straus,Manhattan,6,s,66,5,,9.1,,,5.7,12.4,78.7,2.7,31.0,9.7,87.3,90.6%
P.S. 188 The Island School,Manhattan,s,s,60,4,,#VALUE!,,,1.8,29.3,66.1,2.8,29.1,15.9,91.5,95.3%
"Technology, Arts, and Sciences Studio",Manhattan,11,s,51,4,,21.6,,,3.8,32.1,54.7,5.7,42.5,2.8,82.1,83.4%
University Neighborhood Middle School,Manhattan,13,s,69,5,,18.8,,,8.9,23.2,63.1,3.9,44.3,5.4,87.7,84.4%
School for Global Leaders,Manhattan,19,s,96,7,,19.8,,,13.7,27.3,56.6,1.6,38.3,9.0,80.1,83.9%
East Side Community School,Manhattan,16,s,94,7,,17.0,,,11.9,16.5,53.7,14.6,26.4,0.9,64.7,62.3%
Yorkville East Middle School,Manhattan,42,s,82,6,,51.2,,,8.6,12.0,25.3,49.4,26.2,1.7,34.3,32.3%
P.S./I.S. 217 Roosevelt Island,Manhattan,6,s,21,1,,28.6,,,30.0,11.4,14.9,38.5,11.5,16.4,33.8,27.0%
Ella Baker School,Manhattan,s,s,21,1,,#VALUE!,,,5.6,16.6,32.2,37.2,21.3,0.9,33.4,34.1%
I.S. 289,Manhattan,47,s,91,6,,51.6,,,44.2,3.9,11.3,38.5,23.3,1.8,50.2,46.0%
Professional Performing Arts High School,Manhattan,9,s,33,2,,27.3,,,6.5,21.2,21.4,42.7,14.9,0.2,36.5,38.5%
Quest to Learn,Manhattan,33,s,94,7,,35.1,,,10.8,22.0,42.7,20.3,29.9,2.7,68.4,62.6%
"Ballet Tech, NYC Public School for Dance",Manhattan,15,s,25,2,,60.0,,,31.9,19.1,21.3,22.0,4.3,1.4,53.2,43.9%
Life Sciences Secondary School,Manhattan,s,s,21,1,,#VALUE!,,,6.6,29.1,58.7,3.3,21.3,9.1,81.5,84.3%
City Knoll Middle School,Manhattan,17,s,77,5,,22.1,,,9.7,25.4,50.8,9.7,30.1,8.5,74.2,67.9%
P.S. 076 A. Philip Randolph,Manhattan,s,s,58,4,,#VALUE!,,,0.4,75.2,21.4,2.8,23.5,8.7,96.2,91.4%
P.S. 149 Sojourner Truth,Manhattan,s,s,26,2,,#VALUE!,,,2.1,62.1,28.5,5.1,23.4,15.3,99.1,92.8%
P.S. 165 Robert E. Simon,Manhattan,7,s,53,4,,13.2,,,4.8,14.9,60.1,18.2,19.9,13.7,71.2,69.2%
