School,Borough,Tested,Passed,8th graders,7,Gain/Loss,% Tested,% Passed,% Passed Overall,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index
P.S. 175 City Island,Bronx,14,s,44,3,,31.8,,,3.6,9.0,35.8,48.8,17.8,3.0,51.2,35.8%
M.S. 180 Dr. Daniel Hale Williams,Bronx,151,s,303,21,,49.8,,,2.9,69.6,22.4,2.6,17.5,2.0,74.9,57.6%
North Bronx School of Empowerment,Bronx,23,s,181,13,,12.7,,,2.8,59.2,33.1,2.5,26.6,13.9,86.8,84.8%
Bronx Green Middle School,Bronx,37,s,135,9,,27.4,,,6.6,21.5,57.7,13.4,21.5,19.2,93.7,84.3%
Bronx Alliance Middle School,Bronx,24,s,129,9,,18.6,,,4.1,63.1,30.7,0.9,20.9,5.3,82.0,82.0%
Leaders of Tomorrow,Bronx,29,s,130,9,,22.3,,,2.0,56.5,36.3,2.7,32.7,13.2,95.2,86.2%
Cornerstone Academy for Social Action Middle Schoo,Bronx,24,s,94,7,,25.5,,,0.0,64.0,32.6,2.6,24.7,2.2,81.6,71.3%
Pelham Academy of Academics and Community Engageme,Bronx,35,s,101,7,,34.7,,,7.4,13.9,62.5,15.5,21.4,13.6,88.2,79.4%
P.S./M.S. 11X498 - VAN NEST ACADEMY,Bronx,36,s,95,7,,37.9,,,7.4,11.9,63.5,16.0,22.2,6.8,75.2,69.2%
One World Middle School at Edenwald,Bronx,35,s,120,8,,29.2,,,3.0,58.4,32.2,1.8,23.2,6.9,81.3,71.5%
Baychester Middle School,Bronx,15,s,108,8,,13.9,,,1.7,68.0,26.7,0.7,21.7,4.0,86.3,76.3%
Bronx Park Middle School,Bronx,52,s,147,10,,35.4,,,9.4,17.5,58.4,13.5,19.0,19.7,88.4,86.0%
Pelham Gardens Middle School,Bronx,31,s,161,11,,19.3,,,3.5,59.0,30.6,4.2,25.3,6.7,76.5,75.4%
J.H.S. 098 Herman Ridder,Bronx,s,s,72,5,,#VALUE!,,,3.3,27.1,67.5,1.3,21.3,29.2,95.4,93.0%
M.S. 129 Academy for Independent Learning and Lead,Bronx,29,s,169,12,,17.2,,,2.7,28.8,66.2,1.0,29.4,12.8,92.8,93.6%
E.S.M.T- I.S. 190,Bronx,19,s,78,5,,24.4,,,1.7,22.0,73.4,0.8,24.1,9.1,91.3,89.3%
P.S. 211,Bronx,7,s,85,6,,8.2,,,0.2,13.9,85.1,0.5,19.6,20.2,92.1,94.8%
P.S. 212,Bronx,s,s,62,4,,#VALUE!,,,0.5,34.6,63.4,0.7,13.5,21.1,97.5,93.2%
P.S. 214,Bronx,28,s,147,10,,19.0,,,2.6,25.0,69.5,1.0,18.6,12.0,87.4,90.6%
School of Performing Arts,Bronx,8,s,95,7,,8.4,,,2.0,31.3,63.3,1.0,32.7,18.3,96.3,94.6%
Mott Hall V,Bronx,17,s,94,7,,18.1,,,2.8,16.6,77.6,1.2,27.0,12.6,84.8,87.9%
Bronx Latin,Bronx,s,s,84,6,,#VALUE!,,,1.4,19.0,77.7,1.2,25.6,14.5,94.3,90.2%
East Bronx Academy for the Future,Bronx,14,s,89,6,,15.7,,,1.8,25.8,70.0,0.9,28.9,15.1,91.8,92.4%
Frederick Douglass Academy V. Middle School,Bronx,11,s,73,5,,15.1,,,1.8,37.1,58.9,0.9,25.0,11.2,88.8,91.9%
Fannie Lou Hamer Middle School,Bronx,s,s,87,6,,#VALUE!,,,0.4,23.6,73.6,2.5,23.2,19.2,87.0,92.4%
Kappa III,Bronx,34,s,128,9,,26.6,,,1.8,27.0,69.1,1.3,26.2,8.8,90.1,89.9%
"I.S. X318 Math, Science & Technology Through Arts",Bronx,18,s,101,7,,17.8,,,2.0,26.2,70.7,0.8,27.0,17.6,98.4,93.4%
Accion Academy,Bronx,7,s,54,4,,13.0,,,0.7,24.5,72.8,2.0,29.1,15.2,90.7,92.6%
Urban Assembly School for Wildlife Conservation,Bronx,6,s,71,5,,8.5,,,2.7,24.9,69.3,2.1,28.8,13.1,83.5,89.9%
Emolior Academy,Bronx,20,s,84,6,,23.8,,,3.5,24.7,62.9,3.1,28.2,19.7,91.1,90.8%
Entrada Academy,Bronx,10,s,72,5,,13.9,,,3.2,15.7,78.7,1.2,22.9,40.6,97.6,93.1%
M.S. 113 Ronald Edmonds Learning Center,Brooklyn,20,s,86,6,,23.3,,,4.3,68.2,23.0,2.6,30.2,5.9,91.1,84.6%
Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,s,s,37,3,,#VALUE!,,,2.2,69.2,25.7,1.1,24.3,4.6,91.6,89.8%
M.S. K266 - Park Place Community Middle School,Brooklyn,8,s,68,5,,11.8,,,2.5,76.2,15.6,4.4,37.5,5.6,84.4,75.6%
P.S. 282 Park Slope,Brooklyn,38,s,97,7,,39.2,,,3.6,52.7,25.9,15.9,17.9,3.4,54.2,58.2%
The Urban Assembly Unison School,Brooklyn,21,s,44,3,,47.7,,,7.4,79.2,11.4,2.0,31.5,8.1,89.3,87.2%
Academy of Arts and Letters,Brooklyn,26,s,58,4,,44.8,,,6.9,31.8,16.4,37.2,21.0,0.6,29.9,35.7%
Urban Assembly Institute of Math and Science for Y,Brooklyn,22,s,49,3,,44.9,,,9.0,64.2,14.0,11.5,16.7,8.1,84.8,77.9%
Fort Greene Preparatory Academy,Brooklyn,17,s,75,5,,22.7,,,5.5,62.2,28.9,2.0,32.8,7.5,90.5,85.9%
J.H.S. 050 John D. Wells,Brooklyn,7,s,79,6,,8.9,,,0.3,21.1,75.1,2.8,35.3,17.6,88.9,86.0%
Juan Morel Campos Secondary School,Brooklyn,s,s,84,6,,#VALUE!,,,0.7,17.8,75.7,5.2,32.8,27.0,87.1,92.5%
P.S. 084 Jose De Diego,Brooklyn,18,s,69,5,,26.1,,,3.7,3.8,62.0,25.5,16.6,15.9,47.0,56.7%
John Ericsson Middle School 126,Brooklyn,35,s,137,10,,25.5,,,1.1,19.6,68.8,10.1,25.9,9.0,84.1,81.3%
P.S./I.S. 157 The Benjamin Franklin Health & Scien,Brooklyn,15,s,64,4,,23.4,,,0.4,18.2,78.7,1.9,27.3,17.1,86.6,91.6%
M.S. 582,Brooklyn,s,s,100,7,,#VALUE!,,,1.9,23.8,69.4,3.4,33.6,13.2,82.3,85.6%
Lyons Community School,Brooklyn,6,s,72,5,,8.3,,,1.0,37.1,59.3,2.6,24.8,13.5,89.3,90.3%
Young Women's Leadership School of Brooklyn,Brooklyn,s,s,50,4,,#VALUE!,,,3.4,48.5,39.9,5.2,18.2,7.9,77.1,79.8%
I.S. 136 Charles O. Dewey,Brooklyn,18,s,169,12,,10.7,,,7.6,2.7,81.2,8.0,23.1,39.8,97.3,88.2%
M.S. 442 Carroll Gardens School for Innovation,Brooklyn,25,s,79,6,,31.6,,,5.4,20.9,39.3,33.5,38.5,3.8,49.4,49.4%
Brooklyn Secondary School for Collaborative Studie,Brooklyn,6,s,88,6,,6.8,,,2.8,37.4,45.5,11.9,32.3,6.6,68.1,69.2%
Park Slope Collegiate,Brooklyn,21,s,72,5,,29.2,,,4.4,35.0,39.4,18.0,22.0,6.7,66.8,63.1%
Sunset Park Prep,Brooklyn,53,s,163,11,,32.5,,,17.9,0.8,77.2,4.2,23.6,16.5,96.2,89.8%
M.S. 035 Stephen Decatur,Brooklyn,27,s,79,6,,34.2,,,1.6,85.3,11.0,1.6,31.8,2.9,85.3,87.7%
J.H.S. 057 Whitelaw Reid,Brooklyn,9,s,80,6,,11.3,,,3.0,63.3,30.7,2.5,35.7,9.0,93.5,91.7%
"M.S. 267 Math, Science & Technology",Brooklyn,19,s,86,6,,22.1,,,0.7,71.9,19.9,1.5,35.2,5.2,87.3,88.4%
P.S. 308 Clara Cardwell,Brooklyn,8,s,56,4,,14.3,,,2.5,76.4,18.5,1.1,26.5,5.1,88.7,90.5%
Madiba Prep Middle School,Brooklyn,20,s,61,4,,32.8,,,1.9,73.0,22.0,2.5,31.4,8.8,86.8,82.9%
Parkside Preparatory Academy,Brooklyn,69,s,158,11,,43.7,,,3.9,78.1,13.4,2.4,16.6,10.1,88.8,79.2%
M.S. 061 Dr. Gladstone H. Atwell,Brooklyn,96,s,267,19,,36.0,,,2.5,86.8,9.2,1.0,19.2,5.8,69.8,73.9%
P.S. 138 Brooklyn,Brooklyn,23,s,80,6,,28.8,,,1.6,79.5,13.1,4.8,18.2,8.3,92.0,79.5%
P.S. 181 Brooklyn,Brooklyn,28,s,81,6,,34.6,,,1.0,84.0,10.0,2.6,19.7,13.9,74.3,79.4%
P.S. 189 The Bilingual Center,Brooklyn,49,s,119,8,,41.2,,,3.5,69.5,24.8,1.2,13.8,19.4,92.1,82.0%
M.S. 246 Walt Whitman,Brooklyn,24,s,148,10,,16.2,,,1.0,73.4,20.1,4.8,22.3,30.3,85.2,86.0%
I.S. 340,Brooklyn,35,s,74,5,,47.3,,,0.9,78.1,17.0,0.9,21.4,0.4,79.5,73.8%
Ebbets Field Middle School,Brooklyn,9,s,72,5,,12.5,,,9.0,61.1,25.7,4.2,28.7,22.2,98.2,88.7%
Elijah Stroud Middle School,Brooklyn,6,s,45,3,,13.3,,,2.1,78.1,17.8,1.4,37.7,6.8,94.5,86.9%
The School of Integrated Learning,Brooklyn,18,s,67,5,,26.9,,,2.8,81.1,15.0,0.0,24.0,7.5,91.7,81.8%
Academy for College Preparation and Career Explora,Brooklyn,15,s,43,3,,34.9,,,1.4,76.3,13.5,1.9,14.9,14.2,77.5,78.9%
M.S. K394,Brooklyn,12,s,55,4,,21.8,,,8.0,72.1,18.4,0.8,13.8,6.1,87.6,85.3%
Ronald Edmonds Learning Center II,Brooklyn,7,s,45,3,,15.6,,,0.0,74.8,22.0,1.3,27.0,5.0,88.7,91.4%
"School for Human Rights, The",Brooklyn,s,s,29,2,,#VALUE!,,,1.1,89.8,6.1,2.0,20.6,5.4,83.7,74.9%
"Science, Technology and Research Early College Hig",Brooklyn,20,s,67,5,,29.9,,,4.4,80.0,11.8,1.3,13.9,0.9,75.8,60.2%
Medgar Evers College Preparatory School,Brooklyn,15,s,88,6,,17.0,,,2.3,88.0,4.8,0.9,7.3,0.2,67.1,53.0%
New Heights Middle School,Brooklyn,13,s,70,5,,18.6,,,0.4,83.8,10.7,3.8,30.8,6.0,86.8,82.3%
P.S. 66,Brooklyn,37,s,102,7,,36.3,,,0.7,87.2,7.9,2.6,11.2,2.9,71.5,59.3%
I.S. 068 Isaac Bildersee,Brooklyn,16,s,143,10,,11.2,,,2.7,83.2,7.1,6.2,28.3,21.5,82.3,74.3%
I.S. 211 John Wilson,Brooklyn,36,s,185,13,,19.5,,,1.3,86.8,8.6,1.9,25.9,6.1,83.9,69.9%
I.S. 285 Meyer Levin,Brooklyn,45,s,191,13,,23.6,,,0.6,93.8,3.5,1.1,19.2,3.9,78.1,72.6%
The Science And Medicine Middle School,Brooklyn,42,s,137,10,,30.7,,,0.8,89.0,7.5,2.0,20.6,2.0,81.5,67.9%
East Flatbush Community Research School,Brooklyn,18,s,32,2,,56.3,,,0.0,87.8,7.6,3.8,26.0,11.5,91.6,81.2%
Middle School for Art and Philosophy,Brooklyn,11,s,59,4,,18.6,,,0.6,87.0,8.5,2.3,31.6,7.3,91.5,74.7%
Middle School of Marketing and Legal Studies,Brooklyn,17,s,52,4,,32.7,,,4.6,87.0,3.1,3.8,19.1,13.7,88.5,78.4%
Brooklyn Science and Engineering Academy,Brooklyn,34,s,70,5,,48.6,,,0.4,93.0,3.9,1.6,17.1,3.1,76.7,54.7%
P.S. 089 Cypress Hills,Brooklyn,17,s,54,4,,31.5,,,0.9,3.1,94.5,0.0,23.4,44.6,92.8,86.2%
I.S. 171 Abraham Lincoln,Brooklyn,11,s,152,11,,7.2,,,7.2,8.3,81.1,1.4,18.7,26.8,98.2,88.3%
J.H.S. 218 James P. Sinnott,Brooklyn,23,s,138,10,,16.7,,,17.1,35.7,42.5,2.2,25.2,25.2,92.9,93.1%
I.S. 364 Gateway,Brooklyn,21,s,109,8,,19.3,,,1.4,64.3,31.1,2.6,28.0,1.4,80.6,81.2%
Academy for Young Writers,Brooklyn,7,s,73,5,,9.6,,,0.7,70.1,26.6,1.1,20.1,2.6,84.1,79.9%
East New York Family Academy,Brooklyn,10,s,71,5,,14.1,,,3.2,62.9,31.3,0.8,22.2,3.8,87.1,81.2%
Spring Creek Community School,Brooklyn,6,s,70,5,,8.6,,,1.3,73.8,21.3,1.3,25.5,2.9,82.2,80.8%
Frederick Douglass Academy VIII Middle School,Brooklyn,52,s,101,7,,51.5,,,5.7,71.1,20.5,2.1,18.2,2.1,86.3,70.7%
Van Siclen Community Middle School,Brooklyn,15,s,89,6,,16.9,,,1.7,70.7,22.2,4.0,35.0,11.8,94.6,90.1%
Vista Academy,Brooklyn,24,s,124,9,,19.4,,,5.1,23.9,65.4,2.1,19.7,9.5,97.4,83.4%
Liberty Avenue Middle School,Brooklyn,12,s,152,11,,7.9,,,4.7,19.7,71.2,1.7,21.9,17.6,96.1,88.1%
School of the Future Brooklyn,Brooklyn,12,s,62,4,,19.4,,,1.5,65.7,30.3,1.5,25.9,10.4,92.5,94.1%
East New York Middle School of Excellence,Brooklyn,16,s,76,5,,21.1,,,2.8,57.7,37.5,2.0,27.7,10.3,90.5,90.1%
Highland Park Community School,Brooklyn,10,s,97,7,,10.3,,,2.8,16.9,76.2,0.9,19.7,12.5,93.7,83.2%
J.H.S. 062 Ditmas,Brooklyn,104,s,391,27,,26.6,,,32.6,19.8,33.1,13.6,18.4,21.5,87.4,83.0%
P.S. 192 - The Magnet School for Math and Science,Brooklyn,14,s,67,5,,20.9,,,21.7,1.8,47.1,28.7,20.8,31.8,85.2,89.7%
Urban Assembly School for Criminal Justice,Brooklyn,24,s,77,5,,31.2,,,47.7,16.4,18.3,15.8,14.4,14.9,94.4,84.0%
P.S. 095 The Gravesend,Brooklyn,12,s,48,3,,25.0,,,35.1,8.2,35.3,20.7,17.0,12.9,74.2,78.5%
P.S. 099 Isaac Asimov,Brooklyn,17,s,101,7,,16.8,,,42.2,7.5,17.8,31.6,12.9,27.9,73.7,79.3%
P.S. 121 Nelson A. Rockefeller,Brooklyn,7,s,31,2,,22.6,,,20.2,2.4,42.3,33.0,27.1,19.0,64.3,72.0%
P.S. 209 Margaret Mead,Brooklyn,33,s,67,5,,49.3,,,31.5,3.4,24.1,40.0,26.3,19.2,79.5,68.9%
P.S. K225 - The Eileen E. Zaglin,Brooklyn,42,s,139,10,,30.2,,,19.6,2.0,33.4,44.0,19.6,40.9,76.7,81.7%
P.S. 238 Anne Sullivan,Brooklyn,14,s,60,4,,23.3,,,20.9,4.1,49.6,24.2,20.3,33.1,81.3,84.4%
I.S. 303 Herbert S. Eisenberg,Brooklyn,38,s,182,13,,20.9,,,21.6,10.2,38.5,29.0,15.8,14.1,77.0,80.3%
Kingsborough Early College School,Brooklyn,15,s,100,7,,15.0,,,7.5,24.0,29.2,37.1,18.7,1.5,70.8,63.9%
Brooklyn Studio Secondary School,Brooklyn,19,s,100,7,,19.0,,,21.4,3.5,29.2,44.6,19.7,15.7,75.9,74.2%
J.H.S. 014 Shell Bank,Brooklyn,41,s,207,14,,19.8,,,14.9,38.9,16.6,28.0,24.8,24.4,91.2,82.3%
J.H.S. 078 Roy H. Mann,Brooklyn,35,s,198,14,,17.7,,,6.9,70.2,9.2,12.2,26.1,6.7,84.7,69.1%
P.S. 109,Brooklyn,12,s,102,7,,11.8,,,1.8,80.0,14.5,2.3,24.2,6.0,86.5,73.3%
P.S. 207 Elizabeth G. Leary,Brooklyn,43,s,140,10,,30.7,,,12.3,33.9,15.6,36.2,19.0,4.3,50.7,37.6%
Andries Hudde,Brooklyn,74,s,269,19,,27.5,,,18.6,58.0,13.6,8.5,17.6,13.7,85.2,72.5%
I. S. 381,Brooklyn,30,s,98,7,,30.6,,,9.0,52.5,20.1,16.4,18.4,15.6,68.9,70.5%
P.S. 041 Francis White,Brooklyn,s,s,63,4,,#VALUE!,,,0.4,60.0,31.3,3.3,32.6,7.7,98.2,95.9%
P.S./I.S. 137 Rachel Jean Mitchell,Brooklyn,9,s,33,2,,27.3,,,0.0,74.9,19.5,1.3,28.1,4.3,93.1,87.8%
P.S./ I.S. 155 Nicholas Herkimer,Brooklyn,8,s,34,2,,23.5,,,2.9,51.2,43.5,1.4,21.9,16.1,97.1,93.6%
P.S. 178 Saint Clair Mckelway,Brooklyn,s,s,30,2,,#VALUE!,,,1.9,75.3,18.0,3.2,18.8,5.6,88.1,90.1%
P.S. 184 Newport,Brooklyn,s,s,52,4,,#VALUE!,,,0.2,71.8,26.5,0.7,26.6,4.1,90.8,95.0%
"The Gregory Jocko Jackson School of Sports, Art, a",Brooklyn,9,s,48,3,,18.8,,,0.0,66.2,32.7,0.6,27.0,9.5,93.9,96.8%
P.S./I.S. 323,Brooklyn,10,s,71,5,,14.1,,,1.2,77.5,20.2,0.2,17.0,3.3,93.1,91.0%
P.S. 327 Dr. Rose B. English,Brooklyn,9,s,28,2,,32.1,,,1.2,66.4,28.7,2.1,24.2,9.2,97.6,93.8%
I.S. 392,Brooklyn,46,s,94,7,,48.9,,,4.1,74.9,15.6,0.7,16.6,0.7,74.6,65.5%
Kappa V (Knowledge and Power Preparatory Academy),Brooklyn,20,s,76,5,,26.3,,,0.0,87.7,9.2,0.4,30.7,1.3,82.0,80.6%
Mott Hall IV,Brooklyn,9,s,60,4,,15.0,,,1.3,85.6,12.5,0.0,38.1,1.9,89.4,90.7%
Eagle Academy for Young Men II,Brooklyn,12,s,85,6,,14.1,,,0.6,88.7,8.3,0.6,25.5,0.6,80.1,72.8%
Brooklyn Environmental Exploration School (BEES),Brooklyn,12,s,35,2,,34.3,,,0.0,73.7,18.9,5.3,40.0,6.3,97.9,92.4%
Riverdale Avenue Middle School,Brooklyn,6,s,46,3,,13.0,,,3.9,74.0,18.1,1.6,39.4,12.6,96.9,89.4%
Mott Hall Bridges Academy,Brooklyn,10,s,69,5,,14.5,,,1.0,82.9,15.6,0.5,25.6,0.0,94.5,90.8%
Teachers Preparatory High School,Brooklyn,s,s,29,2,,#VALUE!,,,2.0,75.6,17.6,4.0,34.4,6.8,88.0,87.2%
I.S. 061 Leonardo Da Vinci,Queens,93,s,715,50,,13.0,,,7.1,2.7,87.9,1.8,20.5,31.5,96.2,85.9%
I.S. 077,Queens,61,s,345,24,,17.7,,,9.2,2.2,78.3,10.0,28.1,21.3,92.1,80.1%
P.S./I.S. 087 Middle Village,Queens,12,s,75,5,,16.0,,,3.3,2.1,52.0,40.8,22.4,8.6,63.0,56.0%
I.S. 093 Ridgewood,Queens,78,s,378,26,,20.6,,,9.2,1.9,71.2,17.2,21.7,15.3,94.7,75.5%
P.S./I.S. 113 Anthony J. Pranzo,Queens,26,s,133,9,,19.5,,,5.2,1.0,41.9,50.8,15.2,5.1,55.5,32.2%
Corona Arts & Sciences Academy,Queens,16,s,120,8,,13.3,,,2.0,1.1,96.2,0.4,18.8,23.9,97.4,88.1%
"Robert F. Wagner, Jr. Secondary School for Arts an",Queens,35,s,51,4,,68.6,,,23.8,4.4,55.2,15.3,15.5,5.0,77.0,61.5%
P.S./M.S. 200 - The Pomonok School & STAR Academy,Queens,9,s,66,5,,13.6,,,14.8,21.6,46.9,14.4,16.3,5.2,72.2,53.8%
I.S. 250 The Robert F. Kennedy Community Middle Sc,Queens,41,s,158,11,,25.9,,,35.8,23.3,27.3,9.8,18.8,15.8,82.2,69.8%
The Queens School of Inquiry,Queens,23,s,75,5,,30.7,,,40.8,16.1,24.1,17.0,14.8,4.7,59.7,54.1%
World Journalism Preparatory: A College Board School,Queens,16,s,72,5,,22.2,,,15.0,3.7,35.6,43.7,18.7,1.6,56.4,43.6%
P.S./ IS 178 Holliswood,Queens,23,s,59,4,,39.0,,,12.9,6.9,10.2,67.5,14.3,5.5,36.7,31.5%
P.S./M.S 042 R. Vernam,Queens,s,s,56,4,,#VALUE!,,,1.4,72.6,22.6,1.4,26.1,3.5,96.0,90.7%
P.S. 043,Queens,7,s,62,4,,11.3,,,2.4,57.9,33.2,4.9,20.6,8.9,90.9,86.1%
P.S. 047 Chris Galas,Queens,s,s,14,1,,#VALUE!,,,0.5,1.4,18.5,78.2,25.5,1.4,34.3,36.3%
M.S. 053 Brian Piccolo,Queens,16,s,115,8,,13.9,,,1.1,52.1,43.1,1.5,32.6,20.6,80.9,85.5%
P.S. 105 The Bay School,Queens,7,s,82,6,,8.5,,,2.5,62.8,32.5,1.5,28.8,5.2,88.1,93.2%
P.S./M.S. 114 Belle Harbor,Queens,s,s,29,2,,#VALUE!,,,0.7,2.1,10.8,85.1,22.1,0.4,24.4,17.3%
P.S. 124 Osmond A Church,Queens,52,s,138,10,,37.7,,,48.1,20.0,22.1,3.0,12.1,7.2,62.7,67.4%
P.S. 146 Howard Beach,Queens,11,s,76,5,,14.5,,,4.3,2.1,38.6,54.0,22.1,1.9,47.5,31.3%
P.S. 207 Rockwood Park,Queens,14,s,83,6,,16.9,,,3.2,1.3,18.5,75.9,19.3,0.6,34.6,16.9%
J.H.S. 226 Virgil I. Grissom,Queens,58,s,331,23,,17.5,,,24.7,38.2,16.6,1.9,20.4,6.3,90.6,70.0%
P.S. 232 Lindenwood,Queens,33,s,102,7,,32.4,,,9.6,8.5,46.8,33.4,18.1,4.6,61.9,49.1%
Channel View School for Research,Queens,15,s,98,7,,15.3,,,8.7,42.9,34.3,12.0,12.8,2.0,72.6,63.3%
Knowledge and Power Preparatory Academy VI,Queens,42,s,84,6,,50.0,,,3.8,50.0,42.8,2.3,16.7,6.4,82.6,71.4%
Hawtree Creek Middle School,Queens,25,s,121,8,,20.7,,,32.2,34.7,20.2,1.6,20.5,4.4,91.5,63.4%
Academy of Medical Technology: A College Board School,Queens,13,s,73,5,,17.8,,,6.3,43.2,43.7,3.9,15.8,17.2,78.6,79.5%
Waterside School For Leadership,Queens,s,s,77,5,,#VALUE!,,,1.8,50.9,37.3,8.3,27.2,6.1,89.0,77.2%
Village Academy,Queens,37,s,122,9,,30.3,,,1.1,56.3,39.3,2.2,21.7,17.0,82.5,82.5%
Goldie Maple Academy,Queens,9,s,30,2,,30.0,,,3.5,69.9,20.8,2.1,6.8,0.2,79.2,70.2%
J.H.S. 008 Richard S. Grossley,Queens,12,s,100,7,,12.0,,,17.7,44.8,22.1,0.9,19.8,12.7,90.6,79.8%
Catherine & Count Basie Middle School 72,Queens,37,s,129,9,,28.7,,,8.8,68.5,14.7,2.1,29.1,6.9,81.3,74.6%
Metropolitan Expeditionary Learning School,Queens,21,s,126,9,,16.7,,,19.6,17.1,39.7,16.6,19.0,1.9,71.1,52.5%
York Early College Academy,Queens,21,s,93,7,,22.6,,,28.0,50.6,8.2,1.5,10.5,1.1,71.5,50.2%
The Emerson School,Queens,21,s,121,8,,17.4,,,19.7,50.7,20.3,2.2,25.8,12.6,85.8,75.3%
Queens Collegiate: A College Board School,Queens,24,s,76,5,,31.6,,,27.9,46.6,15.9,1.6,16.1,7.5,86.1,66.9%
Redwood Middle School,Queens,27,s,108,8,,25.0,,,16.2,67.0,9.7,2.3,24.3,3.9,68.9,59.7%
M.S. 358,Queens,47,s,122,9,,38.5,,,21.5,29.4,41.5,2.6,18.9,15.7,88.7,76.3%
I.S. 059 Springfield Gardens,Queens,56,s,195,14,,28.7,,,1.9,86.5,5.6,1.4,19.3,2.6,73.7,60.7%
P.S./I.S. 116 William C. Hughley,Queens,10,s,61,4,,16.4,,,6.8,54.0,35.2,1.6,22.3,15.9,78.2,80.5%
P.S./M.S. 138 Sunrise,Queens,10,s,104,7,,9.6,,,3.0,80.6,11.1,3.1,17.3,5.2,78.6,61.3%
P.S./M.S. 147 Ronald McNair,Queens,9,s,79,6,,11.4,,,2.2,89.0,6.6,1.0,18.0,5.2,72.3,55.4%
I.S. 192 The Linden,Queens,18,s,160,11,,11.3,,,3.7,78.4,9.9,1.2,22.2,8.4,72.0,59.1%
P.S./I.S. 208,Queens,28,s,102,7,,27.5,,,7.8,74.4,13.3,1.1,18.7,0.4,45.8,32.2%
I.S. 238 - Susan B. Anthony Academy,Queens,123,s,521,36,,23.6,,,28.6,36.7,28.1,2.1,13.4,16.7,89.7,73.3%
Pathways College Preparatory School: A College Board School,Queens,6,s,73,5,,8.2,,,5.7,85.6,5.0,1.2,16.3,3.8,73.9,48.9%
P.S./I.S. 268,Queens,27,s,61,4,,44.3,,,27.8,28.5,32.1,2.2,13.9,16.5,78.2,70.2%
The Gordon Parks School,Queens,35,s,97,7,,36.1,,,0.5,96.0,2.1,0.0,16.1,0.4,65.2,40.1%
Preparatory Academy for Writers: A College Board School,Queens,10,s,42,3,,23.8,,,2.6,88.4,5.3,0.7,16.2,1.5,68.7,53.0%
Queens United Middle School,Queens,21,s,87,6,,24.1,,,0.0,88.2,5.9,1.0,18.6,2.5,74.5,54.3%
P.S./I.S. 295,Queens,27,s,62,4,,43.5,,,36.5,24.0,29.4,3.4,16.7,9.5,77.4,56.8%
Eagle Academy for Young Men III,Queens,s,s,74,5,,#VALUE!,,,1.3,88.5,3.2,1.9,25.4,0.8,71.9,53.4%
Collaborative Arts Middle School,Queens,17,s,101,7,,16.8,,,1.6,86.6,9.2,0.3,26.6,4.6,77.0,61.7%
Community Voices Middle School,Queens,9,s,99,7,,9.1,,,1.7,86.4,9.6,0.7,26.5,5.6,71.2,65.9%
I.S. 010 Horace Greeley,Queens,56,s,249,17,,22.5,,,20.0,6.7,56.1,16.1,17.9,16.3,76.9,78.8%
P.S./I.S. 78Q,Queens,14,s,27,2,,51.9,,,22.1,3.7,28.5,39.9,10.9,4.5,26.9,24.2%
P.S. 127 Aerospace Science Magnet School,Queens,28,s,143,10,,19.6,,,13.1,10.8,74.1,1.6,15.5,28.7,84.9,77.2%
I.S. 204 Oliver W. Holmes,Queens,28,s,153,11,,18.3,,,15.9,16.7,60.3,6.4,27.1,17.6,89.3,85.9%
Academy for New Americans,Queens,6,s,49,3,,12.2,,,19.8,2.0,65.3,12.9,1.0,100.0,96.0,83.6%
"Young Women's Leadership School, Astoria",Queens,29,s,84,6,,34.5,,,34.7,7.3,39.5,17.7,12.2,4.2,85.1,71.2%
I.S. R002 George L. Egbert,Staten Island,75,s,288,20,,26.0,,,12.3,7.6,29.0,49.3,23.9,7.9,71.1,58.6%
The Eagle Academy for Young Men of Staten Island,Staten Island,18,s,68,5,,26.5,,,4.7,48.6,34.8,9.5,34.0,5.5,82.6,73.8%
I.S. 49 Berta A. Dreyfus,Staten Island,42,s,240,17,,17.5,,,9.0,34.8,46.1,9.2,35.5,13.2,94.1,87.3%
I.S. 061 William A Morris,Staten Island,40,s,328,23,,12.2,,,4.0,32.8,45.6,15.3,30.2,11.4,82.2,77.5%
The Michael J. Petrides School,Staten Island,22,s,93,7,,23.7,,,8.7,21.2,23.7,42.7,28.5,1.4,47.1,44.6%
Staten Island School of Civic Leadership,Staten Island,34,s,96,7,,35.4,,,12.5,20.2,43.0,20.1,25.1,3.3,78.6,62.9%
P.S./I.S. 045 Horace E. Greene,Brooklyn,24,s,63,4,,38.1,,,2.9,42.6,49.9,3.4,18.4,16.3,81.6,85.7%
J.H.S. 162 The Willoughby,Brooklyn,8,s,162,11,,4.9,,,3.3,5.6,87.5,2.8,23.9,18.1,90.3,91.8%
J.H.S. 291 Roland Hayes,Brooklyn,8,s,105,7,,7.6,,,1.1,14.6,82.1,1.4,25.7,28.2,96.8,95.5%
I.S. 347 School of Humanities,Brooklyn,11,s,99,7,,11.1,,,1.3,4.5,92.3,1.6,24.0,17.0,94.6,90.5%
"I.S. 349 Math, Science & Tech.",Brooklyn,7,s,82,6,,8.5,,,0.3,11.0,87.7,1.0,21.3,23.5,97.7,93.1%
